algorithm,pollution_type,fitness_tbr,precision_tbr,generalization_tbr,percentage
None,None,1.0,0.5095860905551373,0.8796989934874723,
IM_0.0,None,1.0,0.51131871034292,0.9097037874179301,
IM_0.0,DeleteActivityPolluter,1.0,0.51131871034292,0.9097037874179301,0.1
IM_0.0,DeleteActivityPolluter,1.0,0.51131871034292,0.9097037874179301,0.2
IM_0.0,DeleteActivityPolluter,1.0,0.51131871034292,0.9097037874179301,0.3
IM_0.0,DeleteActivityPolluter,1.0,0.51131871034292,0.9097037874179301,0.4
IM_0.0,DeleteActivityPolluter,1.0,0.51131871034292,0.9097037874179301,0.5
IM_0.0,DelayedEventLoggingPolluter,0.9982100806590768,0.6211157243704477,0.919738592394012,0.1
IM_0.0,DelayedEventLoggingPolluter,0.996592761565219,0.6290790985051925,0.9198634751136758,0.2
IM_0.0,DelayedEventLoggingPolluter,0.9952331822216034,0.6129635863040783,0.9210168620763532,0.3
IM_0.0,DelayedEventLoggingPolluter,0.9940034466384391,0.6337022667870945,0.9204699955970017,0.4
IM_0.0,DelayedEventLoggingPolluter,0.9930238519856976,0.6435588055998854,0.9249577437333871,0.5
IM_0.0,ImpreciseActivityPolluter,1.0,0.51131871034292,0.9097037874179301,
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.5204210493235348,0.9097051309692586,0.1
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.5204226668598467,0.9097051309692586,0.2
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.5204205871703027,0.9097051309692586,0.3
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.5204192007106068,0.9097051309692586,0.4
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.5204051050370312,0.9097051309692586,0.5
IM_0.0,InsertAlienActivityPolluter,0.8936077623715272,0.40770725225032867,0.9154466444613794,0.1
IM_0.0,InsertAlienActivityPolluter,0.8229233356029938,0.33276675536694456,0.9181549903013941,0.2
IM_0.0,InsertAlienActivityPolluter,0.7755111364031594,0.26463591490809213,0.9180350329896696,0.3
IM_0.0,InsertAlienActivityPolluter,0.7399366708093085,0.23735403063470284,0.917561768901372,0.4
IM_0.0,InsertAlienActivityPolluter,0.7141095875855594,0.20151348916079193,0.9164357981382664,0.5
IM_0.2,None,0.9940489135465344,0.6221078124036057,0.852528066046875,
IM_0.2,DeleteActivityPolluter,0.9940489135465344,0.6221078124036057,0.852528066046875,0.1
IM_0.2,DeleteActivityPolluter,0.9940489135465344,0.6221078124036057,0.852528066046875,0.2
IM_0.2,DeleteActivityPolluter,0.9940489135465344,0.6221078124036057,0.852528066046875,0.3
IM_0.2,DeleteActivityPolluter,0.9940489135465344,0.6221078124036057,0.852528066046875,0.4
IM_0.2,DeleteActivityPolluter,0.9940489135465344,0.6221078124036057,0.852528066046875,0.5
IM_0.2,DelayedEventLoggingPolluter,0.9922262391657916,0.6686259590152068,0.857178145496151,0.1
IM_0.2,DelayedEventLoggingPolluter,0.9905991602146089,0.7153326262019001,0.8708583595386395,0.2
IM_0.2,DelayedEventLoggingPolluter,0.9893190364144585,0.7160271245665553,0.8728992579093893,0.3
IM_0.2,DelayedEventLoggingPolluter,0.9881482175098618,0.715166821938972,0.8713061059124925,0.4
IM_0.2,DelayedEventLoggingPolluter,0.9871281860688016,0.7150354918567845,0.8833261203373278,0.5
IM_0.2,ImpreciseActivityPolluter,0.9940489135465344,0.6221078124036057,0.852528066046875,
IM_0.2,AggregatedEventLoggingPolluter,0.9940470055336804,0.6221054519368723,0.8525360831641314,0.1
IM_0.2,AggregatedEventLoggingPolluter,0.9940473441085698,0.6221054519368723,0.8525324694419134,0.2
IM_0.2,AggregatedEventLoggingPolluter,0.9940470055336804,0.6221054519368723,0.8525328272035708,0.3
IM_0.2,AggregatedEventLoggingPolluter,0.9940470055336804,0.6221054519368723,0.8525328272035708,0.4
IM_0.2,AggregatedEventLoggingPolluter,0.9940472368063741,0.6221054519368723,0.8525345171485988,0.5
IM_0.2,InsertAlienActivityPolluter,0.8769997387574392,0.5228000028009832,0.8644412352330686,0.1
IM_0.2,InsertAlienActivityPolluter,0.7970155869837636,0.4436514435895482,0.8675363645766708,0.2
IM_0.2,InsertAlienActivityPolluter,0.7402366941959647,0.38051591384505834,0.8658708696185592,0.3
IM_0.2,InsertAlienActivityPolluter,0.6984439916630364,0.3292601081250035,0.8713523811258983,0.4
IM_0.2,InsertAlienActivityPolluter,0.6652874749588217,0.28392864413031316,0.8704884639541781,0.5
ALPHA,None,0.7685913387884491,0.31116637260462143,0.8758879629019287,
ALPHA,DeleteActivityPolluter,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.1
ALPHA,DeleteActivityPolluter,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.2
ALPHA,DeleteActivityPolluter,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.3
ALPHA,DeleteActivityPolluter,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.4
ALPHA,DeleteActivityPolluter,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.5
ALPHA,DelayedEventLoggingPolluter,0.768481303083811,0.4263618440117264,0.8758879629019287,0.1
ALPHA,DelayedEventLoggingPolluter,0.768388219699385,0.43470811053792435,0.8758879629019287,0.2
ALPHA,DelayedEventLoggingPolluter,0.7683302772828214,0.44558989580066644,0.8758879629019287,0.3
ALPHA,DelayedEventLoggingPolluter,0.7682347896634265,0.46419391917524255,0.8758879629019287,0.4
ALPHA,DelayedEventLoggingPolluter,0.7681627829470528,0.4677664861946931,0.8758879629019287,0.5
ALPHA,ImpreciseActivityPolluter,0.7685913387884491,0.31116637260462143,0.8758879629019287,
ALPHA,AggregatedEventLoggingPolluter,0.7685913387884491,0.3181607277159747,0.8758879629019287,0.1
ALPHA,AggregatedEventLoggingPolluter,0.7685913387884491,0.3181607277159747,0.8758879629019287,0.2
ALPHA,AggregatedEventLoggingPolluter,0.7685913387884491,0.3181607277159747,0.8758879629019287,0.3
ALPHA,AggregatedEventLoggingPolluter,0.7685913387884491,0.3181607277159747,0.8758879629019287,0.4
ALPHA,AggregatedEventLoggingPolluter,0.7685913387884491,0.3181607277159747,0.8758879629019287,0.5
ALPHA,InsertAlienActivityPolluter,0.6762219977878323,0.22843976680384526,0.8746717256688981,0.1
ALPHA,InsertAlienActivityPolluter,0.6199192915687287,0.17339885277637912,0.8700389192766003,0.2
ALPHA,InsertAlienActivityPolluter,0.5860513007771533,0.12648623728565989,0.8719369230008079,0.3
ALPHA,InsertAlienActivityPolluter,0.5648585186014016,0.10480440465271901,0.8664860743291694,0.4
ALPHA,InsertAlienActivityPolluter,0.5535457700111226,0.08168625749916358,0.870028818806263,0.5
ILP_1.0,None,1.0,0.3037968280458341,0.8879591131647359,
ILP_1.0,DeleteActivityPolluter,1.0,0.3037968280458341,0.8879591131647359,0.1
ILP_1.0,DeleteActivityPolluter,1.0,0.3037968280458341,0.8879591131647359,0.2
ILP_1.0,DeleteActivityPolluter,1.0,0.3037968280458341,0.8879591131647359,0.3
ILP_1.0,DeleteActivityPolluter,1.0,0.3037968280458341,0.8879591131647359,0.4
ILP_1.0,DeleteActivityPolluter,1.0,0.3037968280458341,0.8879591131647359,0.5
ILP_1.0,DelayedEventLoggingPolluter,1.0,0.4064160353845231,0.8879591131647359,0.1
ILP_1.0,DelayedEventLoggingPolluter,1.0,0.41496970391094967,0.8879591131647359,0.2
