algorithm,percentage,distribution,parameters,mean_delay,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
IM_0.0,0.1,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.47248841081206094,0.8996608514253086,0.9974283708965055,0.6588240047927513,0.9217778384816527,0.9999995870130471,0.31486309691871617,0.8898403192511141
IM_0.0,0.2,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.45748611317299204,0.90738705708893,0.9954085682137693,0.6547751226563593,0.9225482432185688,1.0,0.3157083784910143,0.8806535225533241
IM_0.0,0.3,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.5437025127629792,0.9322634931042909,0.9937142781185062,0.6721136161154844,0.923338653816596,1.0,0.3334838663292673,0.9322634931042909
IM_0.0,0.4,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.48209325189069996,0.9324804136662339,0.9920213852485279,0.6432541621619559,0.927535327400425,1.0,0.3148547450469463,0.9324804136662339
IM_0.0,0.5,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.47925299281272027,0.9254794808974817,0.9910343573329988,0.6653766016797363,0.9235667239864221,1.0,0.3148653344463197,0.9254794808974817
IM_0.0,0.6,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.4946387483887593,0.9262097837209473,0.9898859124850254,0.6429478667096307,0.9235554458492035,0.999999785858617,0.31782772387801084,0.8986123481359446
IM_0.0,0.7,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.49852528923909456,0.9259995622628198,0.9888942680104988,0.6531695424968414,0.9231743497779373,0.999999149637184,0.3203449750222005,0.9262511916554996
IM_0.0,0.8,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.5254144172080223,0.9239332919746926,0.9881986755661196,0.64390012905217,0.9276726133167316,1.0,0.3341105122647863,0.9239332919746926
IM_0.0,0.9,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.4932038843201576,0.9371013119061458,0.9874791540316301,0.6511566437445437,0.9234153270456178,1.0,0.3148547005551743,0.9242124941776446
IM_0.2,0.1,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.6504712751476877,0.701276455399208,0.7650527136504964,0.9847239981533705,0.7590205610462089,0.8640867206686237,0.6505002550038842,0.3940049490269748,0.7650799449126242
IM_0.2,0.2,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.859468383864288,0.5433957050401886,0.8382219122991098,0.9764994032586002,0.7087334860200143,0.8759708910086478,0.8712892414994433,0.11472788320547422,0.8017681029081349
IM_0.2,0.3,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.6846173670944965,0.7522126674968671,0.7800916828787529,0.9694305365986539,0.7576045584231792,0.8760113240732685,0.6851305175211341,0.39395565107537067,0.7760961150993159
IM_0.2,0.4,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.9074687145594891,0.5086629811882053,0.847868124418248,0.9633135910274693,0.7542457148192605,0.8870010633163978,0.9290838355371523,0.35167120981485467,0.7994800393242746
IM_0.2,0.5,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.874657381594719,0.800431094310045,0.8859911276994614,0.9577416066213861,0.7531688015218769,0.8806844034540645,0.9081864549337986,0.3949462698512738,0.8580134951951863
IM_0.2,0.6,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.874762127629219,0.6466388153414037,0.8716322481688389,0.9532144813894952,0.7511566613516081,0.8853207253562543,0.8780178958846395,0.37804582514473895,0.8495120678105295
IM_0.2,0.7,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.8751548546719748,0.6329530316749961,0.860697140187478,0.9490058162785519,0.8054528691612812,0.889390111310841,0.8782921834399718,0.38175739211099635,0.7841823514831108
IM_0.2,0.8,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.8744697875898784,0.6865486820321347,0.8662269536636115,0.9451220671133228,0.7488890142830327,0.8906756685923151,0.8782594118240508,0.40986264730336586,0.8461814049670568
