algorithm,pollution_type,fitness_tbr,precision_tbr,generalization_tbr,percentage
None,None,1.0,0.679254229525661,0.9423935156161204,
IM_0.0,None,1.0,0.4755180843815833,0.9538582551958511,
IM_0.0,DeleteActivityPolluter,1.0,0.4755180843815833,0.9538582551958511,0.1
IM_0.0,DeleteActivityPolluter,1.0,0.4755180843815833,0.9538582551958511,0.2
IM_0.0,DeleteActivityPolluter,1.0,0.4755180843815833,0.9538582551958511,0.3
IM_0.0,DeleteActivityPolluter,1.0,0.4755180843815833,0.9538582551958511,0.4
IM_0.0,DeleteActivityPolluter,1.0,0.4755180843815833,0.9538582551958511,0.5
IM_0.0,DelayedEventLoggingPolluter,0.9985991224163936,0.5330934230338428,0.9538582292363251,0.1
IM_0.0,DelayedEventLoggingPolluter,0.997388568304771,0.5332106571485451,0.9538582551958511,0.2
IM_0.0,DelayedEventLoggingPolluter,0.9967558532656883,0.5282066455863909,0.9538582292363251,0.3
IM_0.0,DelayedEventLoggingPolluter,0.9961736466988551,0.5412525942243535,0.9538582551958511,0.4
IM_0.0,DelayedEventLoggingPolluter,0.9955097804650533,0.5327394629033935,0.9538582032718014,0.5
IM_0.0,ImpreciseActivityPolluter,1.0,0.4755180843815833,0.9538582551958511,
IM_0.0,AggregatedEventLoggingPolluter,0.9941468037609446,0.5441581948119176,0.9538582292363251,0.1
IM_0.0,AggregatedEventLoggingPolluter,0.9941734031537939,0.5487928677050562,0.9538582292363251,0.2
IM_0.0,AggregatedEventLoggingPolluter,0.9940694118140669,0.540243405994477,0.9538582292363251,0.3
IM_0.0,AggregatedEventLoggingPolluter,0.9941812048447775,0.5403882549376603,0.9538582292363251,0.4
IM_0.0,AggregatedEventLoggingPolluter,0.9943021393387776,0.5488080873784751,0.9538581513277539,0.5
IM_0.0,InsertAlienActivityPolluter,0.8386551357184988,0.4117462132281213,0.9596577017215833,0.1
IM_0.0,InsertAlienActivityPolluter,0.7122131366443758,0.36400762956808685,0.9610733477661405,0.2
IM_0.0,InsertAlienActivityPolluter,0.6118547365024026,0.31963490580533627,0.9618303382427114,0.3
IM_0.0,InsertAlienActivityPolluter,0.5333531407611631,0.27991463704571073,0.9615470185111331,0.4
IM_0.0,InsertAlienActivityPolluter,0.4700282101161272,0.24774227980448005,0.9621419295434477,0.5
IM_0.2,None,0.7076687073974496,0.7719323071537761,0.9646874463645102,
IM_0.2,DeleteActivityPolluter,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.1
IM_0.2,DeleteActivityPolluter,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.2
IM_0.2,DeleteActivityPolluter,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.3
IM_0.2,DeleteActivityPolluter,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.4
IM_0.2,DeleteActivityPolluter,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.5
IM_0.2,DelayedEventLoggingPolluter,0.7046820117082396,0.7785600748013091,0.9646874463645102,0.1
IM_0.2,DelayedEventLoggingPolluter,0.7026279205611725,0.7707421982761047,0.9646874463645102,0.2
IM_0.2,DelayedEventLoggingPolluter,0.7010248355904973,0.7703030303030303,0.9646874463645102,0.3
IM_0.2,DelayedEventLoggingPolluter,0.6998596651633162,0.7977877968366363,0.9646874133251135,0.4
IM_0.2,DelayedEventLoggingPolluter,0.699240604329275,0.7601675840284476,0.9646874301618776,0.5
IM_0.2,ImpreciseActivityPolluter,0.7076687073974496,0.7719323071537761,0.9646874463645102,
IM_0.2,AggregatedEventLoggingPolluter,0.6963819089770324,0.7669708677757013,0.9646873555329595,0.1
IM_0.2,AggregatedEventLoggingPolluter,0.696674212720543,0.7935545030943125,0.9646874216308374,0.2
IM_0.2,AggregatedEventLoggingPolluter,0.696512169616862,0.7857734059451741,0.9646874384669648,0.3
IM_0.2,AggregatedEventLoggingPolluter,0.6966697566488613,0.7585417888240991,0.9646873636659974,0.4
IM_0.2,AggregatedEventLoggingPolluter,0.6965708267874184,0.7857572959736663,0.9646873885850799,0.5
IM_0.2,InsertAlienActivityPolluter,0.6258789428977024,0.6922539755834924,0.981410600455296,0.1
IM_0.2,InsertAlienActivityPolluter,0.5617205235842038,0.6245238975199585,0.9814060339643452,0.2
IM_0.2,InsertAlienActivityPolluter,0.5072136815415851,0.5575043705041125,0.9811994412074748,0.3
IM_0.2,InsertAlienActivityPolluter,0.46542940732638777,0.5100943003770865,0.9808576903895727,0.4
IM_0.2,InsertAlienActivityPolluter,0.42709352056510225,0.4446699827817103,0.9805247303016285,0.5
ALPHA,None,0.7560157190948164,0.8275223941024646,0.9734161246345028,
ALPHA,DeleteActivityPolluter,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.1
ALPHA,DeleteActivityPolluter,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.2
ALPHA,DeleteActivityPolluter,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.3
ALPHA,DeleteActivityPolluter,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.4
ALPHA,DeleteActivityPolluter,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.5
ALPHA,DelayedEventLoggingPolluter,0.7558141444847525,0.9288391414333697,0.9734161246345028,0.1
ALPHA,DelayedEventLoggingPolluter,0.7556894236825441,0.9369865522252159,0.9734161246345028,0.2
ALPHA,DelayedEventLoggingPolluter,0.7555755369550874,0.9362164934099036,0.9734161246345028,0.3
ALPHA,DelayedEventLoggingPolluter,0.7554431476735685,0.926620455028705,0.9734161246345028,0.4
ALPHA,DelayedEventLoggingPolluter,0.7553287165907194,0.9353139259781603,0.9734161246345028,0.5
ALPHA,ImpreciseActivityPolluter,0.7560157190948164,0.8275223941024646,0.9734161246345028,
ALPHA,AggregatedEventLoggingPolluter,0.7545482319622925,0.9246940944388455,0.9734161246345028,0.1
ALPHA,AggregatedEventLoggingPolluter,0.7544584795032254,0.9319931036614475,0.9734161246345028,0.2
ALPHA,AggregatedEventLoggingPolluter,0.7545128172008688,0.9320624654562182,0.9734161246345028,0.3
ALPHA,AggregatedEventLoggingPolluter,0.7545582355510027,0.9319991004399947,0.9734161246345028,0.4
ALPHA,AggregatedEventLoggingPolluter,0.7545213708504194,0.9251996284704278,0.9734161246345028,0.5
ALPHA,InsertAlienActivityPolluter,0.7088366153088581,0.7210014977140154,0.9729673061443275,0.1
ALPHA,InsertAlienActivityPolluter,0.6633412531258972,0.624565681388801,0.9722195768233944,0.2
ALPHA,InsertAlienActivityPolluter,0.6194098677424067,0.5483749646931683,0.9717962396161,0.3
ALPHA,InsertAlienActivityPolluter,0.5810768533115023,0.4857916605388607,0.971318362794984,0.4
ALPHA,InsertAlienActivityPolluter,0.5425590528328739,0.429735365013037,0.970720269298497,0.5
ILP_1.0,None,1.0,0.5228308288899661,0.9753073724072964,
ILP_1.0,DeleteActivityPolluter,1.0,0.5228308288899661,0.9753073724072964,0.1
ILP_1.0,DeleteActivityPolluter,1.0,0.5228308288899661,0.9753073724072964,0.2
ILP_1.0,DeleteActivityPolluter,1.0,0.5228308288899661,0.9753073724072964,0.3
ILP_1.0,DeleteActivityPolluter,1.0,0.5228308288899661,0.9753073724072964,0.4
ILP_1.0,DeleteActivityPolluter,1.0,0.5228308288899661,0.9753073724072964,0.5
ILP_1.0,DelayedEventLoggingPolluter,0.9986018918272384,0.5233243754279028,0.9753073724072964,0.1
ILP_1.0,DelayedEventLoggingPolluter,0.9977777135415206,0.5183993310546271,0.9753073724072964,0.2
ILP_1.0,DelayedEventLoggingPolluter,0.9970615538814178,0.5224968405193593,0.9753073724072964,0.3
ILP_1.0,DelayedEventLoggingPolluter,0.9964510811908378,0.5188545878633961,0.9753073724072964,0.4
ILP_1.0,DelayedEventLoggingPolluter,0.9959600603130392,0.5278622983810843,0.9753073724072964,0.5
ILP_1.0,ImpreciseActivityPolluter,1.0,0.5228308288899661,0.9753073724072964,
ILP_1.0,AggregatedEventLoggingPolluter,0.9946093472335602,0.537465453136047,0.9753073724072964,0.1
ILP_1.0,AggregatedEventLoggingPolluter,0.9944553763469588,0.5363989415185078,0.9753073724072964,0.2
ILP_1.0,AggregatedEventLoggingPolluter,0.9945476556499587,0.5365655357885297,0.9753073724072964,0.3
ILP_1.0,AggregatedEventLoggingPolluter,0.9946112621918798,0.5186496531870104,0.9753073724072964,0.4
ILP_1.0,AggregatedEventLoggingPolluter,0.9945691669264126,0.5186833043371591,0.9753073724072964,0.5
ILP_1.0,InsertAlienActivityPolluter,0.8786664809581567,0.46123791349448995,0.9747990834397118,0.1
ILP_1.0,InsertAlienActivityPolluter,0.7799837915898583,0.397398935709543,0.9741700873223039,0.2
ILP_1.0,InsertAlienActivityPolluter,0.6989046780046583,0.3539434989861242,0.9737048547879883,0.3
ILP_1.0,InsertAlienActivityPolluter,0.6299272505011997,0.321211719704127,0.9732908816970715,0.4
ILP_1.0,InsertAlienActivityPolluter,0.5693677550779469,0.2811349966961043,0.97276231359101,0.5
ILP_0.8,None,0.9981340271596763,0.7387309882416743,0.9769076589842756,
ILP_0.8,DeleteActivityPolluter,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.1
ILP_0.8,DeleteActivityPolluter,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.2
ILP_0.8,DeleteActivityPolluter,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.3
ILP_0.8,DeleteActivityPolluter,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.4
ILP_0.8,DeleteActivityPolluter,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.5
ILP_0.8,DelayedEventLoggingPolluter,0.9959111005885578,0.7393701861659245,0.9769076589842756,0.1
ILP_0.8,DelayedEventLoggingPolluter,0.9940688606399283,0.7399417084074029,0.9769076589842756,0.2
ILP_0.8,DelayedEventLoggingPolluter,0.9927386340525368,0.7403153547741208,0.9769076589842756,0.3
ILP_0.8,DelayedEventLoggingPolluter,0.9917665555705634,0.740602560883756,0.9769076589842756,0.4
ILP_0.8,DelayedEventLoggingPolluter,0.991103457463409,0.7409713448732339,0.9769076589842756,0.5
ILP_0.8,ImpreciseActivityPolluter,0.9981340271596763,0.7387309882416743,0.9769076589842756,
ILP_0.8,AggregatedEventLoggingPolluter,0.9886620536723595,0.7426029397152007,0.9769076589842756,0.1
ILP_0.8,AggregatedEventLoggingPolluter,0.988635048036812,0.7424561993407612,0.9769076589842756,0.2
ILP_0.8,AggregatedEventLoggingPolluter,0.9884695477188518,0.7425302473053328,0.9769076589842756,0.3
ILP_0.8,AggregatedEventLoggingPolluter,0.9886198393040908,0.7425210709036865,0.9769076589842756,0.4
ILP_0.8,AggregatedEventLoggingPolluter,0.9885145880682338,0.742536324916957,0.9769076589842756,0.5
ILP_0.8,InsertAlienActivityPolluter,0.890385541381598,0.6529890334531876,0.976464639588357,0.1
ILP_0.8,InsertAlienActivityPolluter,0.8018462018459568,0.580564033811602,0.9759532190065112,0.2
ILP_0.8,InsertAlienActivityPolluter,0.725966539458312,0.5173866545678452,0.9753696718769298,0.3
ILP_0.8,InsertAlienActivityPolluter,0.6635389919370118,0.4645584485228067,0.9750248803400606,0.4
ILP_0.8,InsertAlienActivityPolluter,0.6109092780793494,0.4190804577480275,0.9743911214704462,0.5
