algorithm,percentage,distribution,parameters,mean_delay,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
IM_0.0,0.1,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4698790324996337,0.9582770967464195,0.9884720910465952,0.5808365118792268,0.9540851160464358,1.0,0.3025413892811879,0.9582770967464195
IM_0.0,0.2,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.6039889763433374,0.979702265419028,0.9796841854446336,0.7232960383227738,0.9563006719025826,1.0,0.3298935214302301,0.979702265419028
IM_0.0,0.3,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5031578270925607,0.9601052590803872,0.9735202337588287,0.643043255742134,0.9550456505043258,1.0,0.3025413892811879,0.9601052590803872
IM_0.0,0.4,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.6209540643262904,0.976436705433904,0.968035929410964,0.7148498431687575,0.9576708449203234,1.0,0.35353175987189633,0.976436705433904
IM_0.0,0.5,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.6498581320474559,0.976436705433904,0.964793531602172,0.7679154740535907,0.9555081481136812,1.0,0.35353175987189633,0.976436705433904
IM_0.0,0.6,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5830647691645364,0.9785642234507023,0.9620242918770655,0.7182065158822448,0.9573609664899175,1.0,0.3251787768641915,0.9785642234507023
IM_0.0,0.7,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5437658626378695,0.9754563967173332,0.9598572586355257,0.7170801833974227,0.9573256198598831,1.0,0.29869440605692343,0.9754563967173332
IM_0.0,0.8,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5969638494942201,0.9862663230852858,0.9585407269098691,0.703181315927966,0.9574729258057648,1.0,0.326054213331455,0.9862663230852858
IM_0.0,0.9,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5736791573145408,0.9709273737714912,0.9567185152119742,0.7679168627052047,0.957924148935253,1.0,0.2955464703873055,0.9709273737714912
IM_0.2,0.1,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.9999609017207612,0.639272565327084,0.9709952687615008,0.6835691304895465,0.843013216965435,0.9783985206103031,0.9999653054669257,0.3860914095252015,0.9707474115981773
IM_0.2,0.2,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7607711269374728,0.6965031627760394,0.9733275082395745,0.6651529338911495,0.8340487818898107,0.9799972260597235,0.7610450235564703,0.4799504723787601,0.9733275055314503
IM_0.2,0.3,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7691054258875735,0.6203749109756798,0.974285299459439,0.651580863177192,0.8596652838259167,0.9806148804712825,0.7691054258875735,0.3733090761480271,0.974285299459439
IM_0.2,0.4,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7753511585084676,0.5436800099516272,0.9744288960090585,0.6417911880459044,0.8596578135968225,0.9809418226276159,0.7753511585084676,0.31690617354949424,0.9744288960090585
IM_0.2,0.5,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7494821981299988,0.6325205233948019,0.970373804853279,0.6340974422478821,0.8659967580604624,0.9812890061002351,0.7494821981299988,0.3434118687134087,0.970373804853279
IM_0.2,0.6,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7753511585084676,0.6672634872962613,0.9833455752406665,0.6289154076841739,0.8602955538299565,0.9814085988054916,0.7753511585084676,0.346148261746585,0.9833455752406665
IM_0.2,0.7,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7856669673051518,0.6263623218118449,0.9848383254419487,0.6236154462687503,0.8441096288488675,0.9815891773780719,0.7856669673051518,0.3392534432014521,0.9848383254419487
IM_0.2,0.8,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7895632316016369,0.5597103442494248,0.9843181686180713,0.6205166283428164,0.8685795029423065,0.9816946142673234,0.7895632316016369,0.31310820384993787,0.9843181686180713
IM_0.2,0.9,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7076687073974496,0.7719323071537761,0.9646874463645102,0.7610450235564703,0.6077461210584418,0.9790884112931931,0.6173688694294356,0.85917687985568,0.9817972131352286,0.7610450235564703,0.3344252484653786,0.9790884112931931
ALPHA,0.1,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.5004179419774882,0.5343964367477013,0.9734161246345028,0.7538055882645558,0.9299971113454517,0.9734161246345028,0.5004179419774882,0.18181855676906322,0.9734161246345028
ALPHA,0.2,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.5641792933433865,0.4856061648340184,0.9734161246345028,0.7516143689552429,0.9308816371523055,0.9734161246345028,0.5641806691672006,0.09999999999999998,0.9734161246345028
ALPHA,0.3,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.4356724696952295,0.5582632335848388,0.9734161246345028,0.7497801243561782,0.9099976718478745,0.9734161246345028,0.43567323511972367,0.0,0.9734161246345028
