algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
IM_0.0,0.5,InsertAlienActivityPolluter,1.0,0.5611,0.7968,1.0,0.5122,0.9154,1.0,0.4243,0.9421,1.0,0.3449,0.9154,1.0,0.3076,0.6635
IM_0.0,0.5,AggregatedEventLoggingPolluterhour,1.0,0.5611,0.7968,1.0,0.5122,0.9154,1.0,0.5085,0.9153,0.9985,0.5341,0.9154,1.0,0.4661,0.9153
IM_0.0,0.5,AggregatedEventLoggingPolluterday,1.0,0.5611,0.7968,1.0,0.5122,0.9154,1.0,0.5119,0.9158,0.9985,0.532,0.9154,1.0,0.4716,0.9158
IM_0.0,0.5,DelayedEventLoggingPolluter120_0,1.0,0.5611,0.7968,1.0,0.5122,0.9154,1.0,0.4898,0.9277,0.9864,0.6053,0.9254,1.0,0.3441,0.9271
IM_0.0,0.5,DeleteActivityPolluter,1.0,0.5611,0.7968,1.0,0.5122,0.9154,1.0,0.6125,0.9206,0.7697,0.6907,0.9026,0.9999,0.3458,0.7748
IM_0.2,0.5,InsertAlienActivityPolluter,1.0,0.5611,0.7968,0.9251,0.6955,0.9142,0.7984,0.6014,0.9116,0.9251,0.538,0.9142,0.7334,0.3418,0.6483
IM_0.2,0.5,AggregatedEventLoggingPolluterhour,1.0,0.5611,0.7968,0.9251,0.6955,0.9142,0.9919,0.6217,0.9183,0.9224,0.6926,0.9142,0.9939,0.591,0.9183
IM_0.2,0.5,AggregatedEventLoggingPolluterday,1.0,0.5611,0.7968,0.9251,0.6955,0.9142,0.9953,0.6143,0.9111,0.9224,0.6984,0.9142,0.9972,0.5819,0.911
IM_0.2,0.5,DelayedEventLoggingPolluter120_0,1.0,0.5611,0.7968,0.9251,0.6955,0.9142,0.8529,0.6893,0.8874,0.9096,0.7214,0.9282,0.8577,0.5808,0.8779
IM_0.2,0.5,DeleteActivityPolluter,1.0,0.5611,0.7968,0.9251,0.6955,0.9142,0.8691,0.7517,0.9074,0.7136,0.8279,0.9186,0.9359,0.431,0.8507
